,scenario_id,roaduser_id,strategy,max_speed
91,82,v131,1,3.662903321540495
92,82,v132,1,3.9599074488387047
93,82,v133,1,4.7811031672405075
94,82,v134,1,4.200547291704718
95,83,v109,1,3.8108097708088366
96,84,v302,1,2.329610471267378
97,85,v138,1,4.498363191209238
98,86,v111,1,3.0084623428698127
99,87,v104,1,2.353909665076704
100,88,v94,1,4.6245390105600865
101,89,v96,1,2.5057999584581423
102,90,v109,1,3.8108097708088366
103,91,v121,1,4.3960308391165315
104,92,v100,1,5.136736423370238
105,93,v140,1,2.093648255177301
106,94,v112,1,3.457626273959156
107,96,v10,1,2.9390518605306086
108,96,v34,1,2.4489787812312374
109,97,v40,1,1.725115698949378
110,97,v68,1,2.365795782134314
111,98,v40,1,1.725115698949378
112,98,v67,1,6.465281970250822
113,99,v45,1,2.0927612571116976
114,99,v68,1,2.365795782134314
115,100,v80,1,3.592673515129609
116,100,v301,1,2.752431671600109
117,101,v93,1,3.984229573342237
118,101,v121,1,4.3960308391165315
119,102,v97,1,1.5856504361965813
120,102,v127,1,2.336304518884647
121,102,v128,1,2.2777434975818704
122,103,v199,1,3.2624989287314192
123,103,v229,1,2.3150592758641864
124,104,v212,1,2.190764035706694
125,104,v243,1,3.07736304200266
