,scenario_id,roaduser_id,strategy
0,1,v17,0
4,5,v25,0
6,7,v25,0
8,9,v28,0
9,9,v29,0
10,10,v31,0
16,15,v13,0
23,21,v38,0
25,23,v38,0
27,25,v15,0
28,26,v39,0
31,29,v41,0
33,31,v69,0
36,34,v51,0
37,35,v51,0
39,37,v74,0
40,38,v74,0
43,40,v77,0
45,42,v301,0
46,43,v53,0
47,44,v55,0
48,45,v55,0
50,46,v330,0
51,47,v57,0
56,52,v61,0
62,57,v91,0
63,58,v78,0
65,60,v57,0
71,66,v122,0
72,67,v96,0
75,70,v126,0
76,70,v127,0
80,73,v128,0
81,73,v129,0
82,74,v99,0
86,77,v104,0
87,78,v103,0
88,79,v104,0
90,81,v313,0
91,82,v131,0
93,82,v133,0
95,83,v109,0
96,84,v302,0
97,85,v138,0
98,86,v111,0
102,90,v109,0
104,92,v100,0
105,93,v140,0
107,96,v10,0
109,97,v40,0
110,97,v68,0
113,99,v45,0
114,99,v68,0
115,100,v80,0
117,101,v93,0
119,102,v97,0
121,102,v128,0
124,104,v212,0
125,104,v243,0
