,scenario_id,roaduser_id,strategy
0,1,v17,1
1,2,v22,1
2,3,v23,1
4,5,v25,1
7,8,v6,1
8,9,v28,1
9,9,v29,1
10,10,v31,1
12,12,v33,1
15,14,v34,1
20,18,v36,1
21,19,v37,1
23,21,v38,1
24,22,v38,1
26,24,v38,1
28,26,v39,1
31,29,v41,1
32,30,v68,1
33,31,v69,1
34,32,v45,1
35,33,v49,1
36,34,v51,1
39,37,v74,1
40,38,v74,1
41,38,v75,1
42,39,v74,1
43,40,v77,1
45,42,v301,1
46,43,v53,1
47,44,v55,1
48,45,v55,1
51,47,v57,1
52,48,v84,1
53,49,v87,1
54,50,v58,1
55,51,v89,1
61,56,v59,1
62,57,v91,1
63,58,v78,1
64,59,v85,1
65,60,v57,1
66,61,v89,1
67,62,v87,1
70,65,v121,1
71,66,v122,1
75,70,v126,1
76,70,v127,1
80,73,v128,1
81,73,v129,1
84,75,v129,1
85,76,v101,1
86,77,v104,1
87,78,v103,1
88,79,v104,1
89,80,v106,1
90,81,v313,1
91,82,v131,1
93,82,v133,1
95,83,v109,1
96,84,v302,1
97,85,v138,1
99,87,v104,1
100,88,v94,1
102,90,v109,1
103,91,v121,1
105,93,v140,1
106,94,v112,1
109,97,v40,1
110,97,v68,1
112,98,v67,1
113,99,v45,1
114,99,v68,1
118,101,v121,1
119,102,v97,1
121,102,v128,1
124,104,v212,1
125,104,v243,1
