,scenario_id,roaduser_id,strategy
0,1,v17,3
1,2,v22,3
2,3,v23,3
3,4,v23,3
4,5,v25,3
7,8,v6,3
9,9,v29,3
11,11,v31,3
16,15,v13,3
20,18,v36,3
23,21,v38,3
27,25,v15,3
28,26,v39,3
32,30,v68,3
33,31,v69,3
38,36,v73,3
41,38,v75,3
42,39,v74,3
43,40,v77,3
45,42,v301,3
46,43,v53,3
49,46,v84,3
50,46,v330,3
51,47,v57,3
53,49,v87,3
55,51,v89,3
59,54,v65,3
65,60,v57,3
71,66,v122,3
75,70,v126,3
80,73,v128,3
88,79,v104,3
90,81,v313,3
91,82,v131,3
93,82,v133,3
95,83,v109,3
96,84,v302,3
100,88,v94,3
102,90,v109,3
104,92,v100,3
105,93,v140,3
108,96,v34,3
109,97,v40,3
114,99,v68,3
117,101,v93,3
123,103,v229,3
