scenarioid,time,id,x_axis,y_axis,velocity
1,0.5,p1,250.655,203.46450000000002,4.109572362180765
1,0.5,p83,322.721,182.29399999999998,3.4098408320623994
1,0.5,p84,326.0435,180.219,3.486820399733832
1,0.5,v17,348.7975,236.5645,4.877500000000001
1,1.0,p1,251.33141242910457,201.52423907018854,4.109572362180765
1,1.0,p83,321.89251299387104,183.84104717034694,3.5098408320623995
1,1.0,p84,325.2828532837207,181.84311105470044,3.586820399733832
1,1.0,v17,346.94111819671986,235.48095244089166,4.298943457362191
1,1.0,p55,265.7185,152.432,4.70006026557107
1,1.5,p1,252.00782485820915,199.58397814037707,4.109572362180765
1,1.5,p83,321.0410998321045,185.43253494478222,3.6098408320624
1,1.5,p84,324.5068000084373,183.51520629089225,3.6868203997338322
1,1.5,v17,345.2465210049282,234.49183659866927,3.9242883644113653
1,1.5,p55,264.79278254313215,154.59202055894153,4.70006026557107
1,1.5,p85,321.57999492978587,178.8565174088927,4.973213786706568
1,2.0,p1,252.68423728731372,197.6437172105656,4.109572362180765
1,2.0,p83,320.16730445107163,187.0687535676731,3.7098408320624
1,2.0,p84,323.71253038656397,185.23396687710817,3.786820399733832
1,2.0,v17,343.70686638541,233.59315885796906,3.5654778243784193
1,2.0,p55,263.8670650862643,156.75204111788307,4.70006026557107
1,2.0,p85,320.4848797147817,181.0889905908007,4.973213786706567
1,2.5,p1,253.3606497164183,195.70345628075412,4.109572362180766
1,2.5,p83,319.272341647763,188.75034905176148,3.8098408320624
1,2.5,p84,322.9002792210684,186.99949548041593,3.8868203997338324
1,2.5,v17,342.3163019309044,232.78150323960432,3.2202200825146012
1,2.5,p55,262.94134762939643,158.9120616768246,4.70006026557107
1,2.5,p85,319.38824536879855,183.32071793823414,4.973213786706568
1,3.0,p1,254.03706214552287,193.76319535094265,4.109572362180767
1,3.0,p83,318.35810326809974,190.47831954287707,3.9098408320624003
1,3.0,p84,322.0695308127827,188.8115499241522,3.986820399733833
1,3.0,v17,341.0700316300803,232.0540703698891,2.886068774411511
1,3.0,p55,262.0156301725286,161.07208223576615,4.70006026557107
1,3.0,p85,318.28972856946774,185.55151929282852,4.973213786706569
1,3.5,p1,254.71347457462744,191.82293442113118,4.109572362180767
1,3.5,p83,317.4274026077125,192.25412982423416,4.0098408320624
1,3.5,p84,321.21908614073,190.66957820830106,4.086820399733833
1,3.5,v17,339.9644543054548,231.40875828517315,2.5602569460165627
1,3.5,p55,261.0899127156607,163.23210279470769,4.70006026557107
1,3.5,p85,317.1890834178402,187.7812713176669,4.973213786706568
1,4.0,p1,255.389887003732,189.8826734913197,4.109572362180767
1,4.0,p83,316.4841341093725,194.0797646333516,4.1098408320624
1,4.0,p84,320.34745540534783,192.57289797282934,4.186820399733833
1,4.0,v17,338.9974319341797,230.8443190474329,2.2393962754700754
1,4.0,p55,260.1641952587928,165.3921233536492,4.70006026557107
1,4.0,p85,316.0862106948645,190.00992238927685,4.973213786706568
1,4.5,p1,256.0662994452685,187.94241256584226,4.109572362180767
1,4.5,p83,315.5331551624948,195.95761686407164,4.209840832062398
1,4.5,p84,319.453316465684,194.5209028089297,4.286820399733832
1,4.5,v17,338.1688225323648,230.3606697823925,1.9188644062050144
1,4.5,p55,259.2384778019175,167.55214391258755,4.70006026557107
1,4.5,p85,314.98113978800853,192.23748431499126,4.973213786706568
1,4.5,p2,243.0875,201.675,7.655165315001369
1,5.0,p1,256.742711875418,186.00215163639507,4.109572362180767
1,5.0,p83,314.57962398117576,197.89009203485145,4.309840832062398
1,5.0,p84,318.53686028183995,196.51367885454403,4.386820399733832
1,5.0,v17,337.4816426117943,229.95957119142014,1.5913470054205632
1,5.0,p55,258.31276034383563,169.7121644710088,4.70006026557107
1,5.0,p85,313.8740116660575,194.46402449285856,4.973213786706568
1,5.0,p2,244.07351745233552,197.97660053757173,7.65516531500137
1,5.5,p1,257.43558376174536,184.0146775064386,4.209572362180767
1,5.5,p83,313.6276247235555,199.87890360323135,4.409840832062398
1,5.5,p84,317.59735359975,198.5508868751387,4.486820399733832
1,5.5,v17,336.80472208353467,229.5644608833951,1.5675886668217163
1,5.5,p55,257.38704268604926,171.8721849438429,4.70006026557107
1,5.5,p85,312.76506488727307,196.68965943235239,4.973213786706569
1,5.5,p2,245.05953490356075,194.27820107484743,7.655165315001371
1,6.0,p1,258.1449174225197,181.97999098416776,4.309572362180767
1,6.0,p83,312.67813079002127,201.92417310938842,4.509840832062397
1,6.0,p84,316.6344254321721,200.63235263006686,4.586820399733831
1,6.0,v17,336.13782494524276,229.1752011066101,1.5443768541190759
1,6.0,p55,256.46129411126174,174.0321921663491,4.70006026557107
1,6.0,p85,311.65468666486447,198.91458056472376,4.973213786706568
1,6.0,p2,246.04555234913798,190.57980161061735,7.655165315001371
1,6.5,p1,258.8710392634951,179.89820589045956,4.409572362180767
1,6.5,p83,311.72728843329,204.0238294948199,4.609840832062396
1,6.5,p84,315.647973727519,202.7580253234106,4.686820399733831
1,6.5,v17,335.4807101808487,228.7916511829063,1.5217231779241474
1,6.5,p55,255.53235788561395,176.19083042082323,4.70006026557107
1,6.5,p85,310.54348363786517,201.13908987575388,4.973213786706569
1,6.5,p2,247.03156975972442,186.8814021370585,7.655165315001371
1,7.0,p1,259.63023361942896,177.77507502959526,4.509572362180767
1,7.0,p83,310.76641887919146,206.17380155646325,4.709840832062397
1,7.0,p84,314.63805285130894,204.92792675172987,4.78682039973383
1,7.0,v17,334.83313487583274,228.4136693260226,1.4996320346001488
1,7.0,p55,254.5697628531965,178.3346709999161,4.700060265571071
1,7.0,p85,309.43229266809567,203.36360520965806,4.973213786706567
1,7.0,p2,248.0175765374316,183.18299982872108,7.655165315001371
1,7.5,p1,260.40667743038716,175.60501181646762,4.609572362180766
1,7.5,p83,309.79422222695837,208.3472840541041,4.762013228946095
1,7.5,p84,313.60756508759187,207.1365042006647,4.874307901277504
1,7.5,v17,334.50934722332477,228.2246783975808,0.7498160173000744
1,7.5,p55,253.64304075736675,180.49426072532714,4.700060265571071
1,7.5,p85,308.3216783196173,205.5884084843379,4.973213786706568
1,7.5,p2,248.99780879881442,179.48306284091382,7.65516531500137
1,8.0,p1,261.18064449427027,173.3810529718218,4.709572362180765
1,8.0,p83,308.81401543460566,210.51716588093018,4.762013228946095
1,8.0,p84,312.57543511493174,209.34431467682668,4.874307901277504
1,8.0,v17,334.18786872788655,228.03703529613344,0.7444685528617044
1,8.0,p55,252.7448487962598,182.66587137781593,4.7000602655710715
1,8.0,p85,307.211619975209,207.81348922761023,4.973213786706568
1,8.0,p2,249.96163813070513,175.77881905587657,7.65516531500137
1,8.5,p1,261.97068830896626,171.1097477638799,4.809572362180765
1,8.5,p83,307.8249185236743,212.68300978088013,4.762013228946094
1,8.5,p84,311.5417815163022,211.5514122317966,4.874307901277504
1,8.5,v17,334.18786872788655,228.03703529613344,0.7444685528617044
1,8.5,p55,251.82068498556038,184.826557119888,4.7000602655710715
1,8.5,p85,306.10209612240874,210.03883654030986,4.973213786706568
1,8.5,p2,250.94889177237303,172.08074939090088,7.65516531500137
1,9.0,p1,262.77716402048094,168.7912197563697,4.909572362180763
1,9.0,p83,306.82660191064235,214.84461946773592,4.762013228946095
1,9.0,p84,310.50669795773507,213.75783952629288,4.874307901277504
1,9.0,v17,333.86861500386453,227.85069076679736,0.7393165057414274
1,9.0,p55,250.89555402665152,186.9868289393284,4.700060265571072
1,9.0,p85,304.99308252183073,212.26443818386718,4.973213786706569
1,9.0,p2,251.93625145192897,168.38270803591482,7.655165315001371
1,9.5,p1,263.60007083944936,166.4254686747306,5.009572362180763
1,9.5,p83,305.81915743843825,217.00199012054222,4.762013228946094
1,9.5,p84,309.4702557450841,215.96362893576725,4.874307901277503
1,9.5,v17,333.86861500386453,227.85069076679736,0.7393165057414274
1,9.5,p55,249.970421464327,189.1471000721094,4.700060265571072
1,9.5,p85,303.88455339719275,214.49028117516315,4.973213786706567
1,9.5,p2,252.92360708755052,164.68466560121962,7.655165315001371
