id,s_id,score,c_to_p_dist,view_range,min_dist_game
v34,14,0.5120692047445724,16.92,7.63,9.66
v34,12,2.4575474115812943,4.6899999999999995,15.71,12.66
v23,3,0.9146234594462883,6.21,5.53,4.48
v25,5,86.34261928165847,6.2,11.51,15.54
v13,16,0.1719196021974999,4.2,17.91,2.5
v33,12,0.3931459976543843,8.45,30.0,15.0
v14,16,0.5209419996078525,13.49,14.18,8.33
v23,4,0.3519045040011406,5.8,8.93,11.0
v36,18,3.340688299779829,4.3,9.29,1.4
v6,8,0.4611321760471477,10.0,7.59,11.79
v31,10,0.19959979353804294,11.75,17.2,7.86
v29,9,2.148687633872032,10.64,8.56,17.9
v25,7,0.30497726457233126,8.65,14.75,10.24
v22,2,1.9504480759302776,5.99,9.85,5.13
v28,9,1.0675862726789933,9.21,12.33,12.06
v25,6,1.078669938318273,11.2,16.53,12.44
v31,11,0.19959979353804294,7.41,10.69,17.0
v13,15,0.19165738128429774,5.61,11.18,4.34
v17,1,0.8365458366838662,5.23,7.09,8.58
v14,17,0.12785333443787836,8.86,22.4,4.57
v10,13,0.2580014097175616,17.3,14.5,10.72
v15,25,0.4665613254142362,6.72,5.51,10.19
v38,23,0.6100413024070717,15.89,8.24,5.7
v38,22,0.8975924203793207,3.5,16.15,15.13
v39,26,0.7766297967085298,9.31,8.27,17.43
v37,20,1.2077553727631938,12.36,11.27,11.03
v41,29,3.2209382071080856,12.29,8.47,11.61
v69,31,0.5982670476850198,10.15,6.4,10.59
v49,33,0.9017223297503957,15.28,17.01,4.98
v38,24,0.2969908542221501,6.52,15.04,8.6
v45,32,0.25965384594164787,12.99,4.95,15.62
v16,27,0.1788522171974182,13.31,12.8,10.99
v38,21,0.2969908542221501,8.74,8.77,16.28
v37,19,0.9584533759103767,14.13,14.39,13.36
v40,28,1.1054226310657604,5.52,15.49,10.22
v68,30,0.5920436076600762,7.3,10.4,6.61
v55,44,0.8310578218528203,12.7,6.83,9.43
v75,38,1.3191847569495438,6.11,4.21,5.5
v74,38,0.44502257390950734,4.0,15.91,7.54
v51,35,0.5590589089053017,18.2,12.9,7.63
v84,46,0.9874265835516982,4.14,10.1,8.37
v73,36,0.34062040054603765,8.43,11.44,7.55
v77,40,0.31652570737374797,4.96,4.5,2.3
v74,39,0.23193803057074547,7.7,6.41,11.54
v51,34,0.30579644738740863,1.7,14.94,10.1
v301,42,0.49488455274452764,5.32,6.51,4.99
v55,45,0.8310578218528203,14.83,4.39,10.0
v74,37,0.23193803057074547,16.35,6.57,7.3
v53,43,1.067667543082624,6.24,4.85,17.47
v52,41,0.17070726429422697,10.01,13.55,16.65
v330,46,2.8383631056005303,8.9,10.74,7.72
v301,100,0.4882372779538855,16.4,17.23,8.52
v96,89,0.17225723090167674,9.33,12.7,17.85
v229,103,0.5666521463324042,10.92,9.3,12.96
v93,101,0.5859409086406231,6.22,5.32,7.78
v45,99,0.6929124436444707,7.39,16.3,16.1
v100,92,0.23859199229627848,10.05,7.43,13.48
v121,101,0.8148901658908775,3.6,17.25,8.96
v112,94,0.24430373076487472,12.5,6.31,10.77
v243,104,0.4323857689146386,15.0,6.91,15.65
v140,93,1.987826438465466,8.45,5.7,10.48
v68,99,0.6040347667191835,8.05,9.03,9.76
v97,102,0.2756962858278442,13.03,9.17,13.6
v80,100,0.6025318440336448,11.9,15.56,4.12
v109,90,1.0240602023899554,2.4,6.62,10.86
v34,96,0.5120692047445724,7.15,6.09,14.32
v40,98,0.16416290923953056,15.17,12.13,7.77
v10,96,0.2580014097175616,6.96,16.7,6.71
v67,98,0.9472041002967778,16.13,11.58,17.48
v199,103,0.1407987811348655,14.83,17.49,10.76
v212,104,0.4839858215015668,3.1,13.2,15.57
v40,97,0.64862073654575,8.81,10.13,14.59
v68,97,1.0818909901906462,11.02,11.58,13.73
v128,102,2.4227625454465547,12.98,4.77,4.65
v121,91,0.782007780081282,4.49,16.59,8.36
v127,102,0.6183397088383065,13.3,15.28,11.13
v127,72,0.2534731741322846,9.45,13.92,6.09
v128,75,0.8181079585282576,17.18,17.97,1.8
v98,71,0.9292817225284649,7.05,11.88,15.96
v97,71,0.13221370816851655,6.01,17.16,9.71
v129,75,0.5729490794241429,17.37,17.35,15.13
v106,80,0.7264866341708922,8.77,16.45,8.38
v122,66,0.7873055591531422,5.6,10.17,12.15
v134,82,0.522858791774319,10.54,17.67,11.63
v109,83,0.9778416320681572,3.0,7.5,12.27
v138,85,0.60011803265661,12.13,4.99,12.45
v133,82,1.0138719866673152,9.8,5.64,10.2
v132,82,0.7846244192549161,15.29,6.91,4.6
v96,68,0.16273323891477454,17.98,17.09,10.62
v104,77,0.7721469810134486,17.46,9.58,9.49
v94,88,0.37104002634684247,6.37,3.2,8.6
v104,87,0.37006820431142523,4.3,15.82,5.23
v302,84,0.4046484761924114,3.0,5.29,6.0
v127,70,0.9494797216087091,9.04,16.09,6.96
v129,73,0.6019537170107166,9.09,11.69,5.36
v126,70,1.9187238892126415,4.45,9.73,14.73
v96,67,0.1724843943439838,12.85,14.48,7.58
v128,73,1.5032897566755612,3.9,9.63,7.37
v111,86,0.4998790126826082,4.91,15.06,7.57
v99,74,0.15397486596737267,11.77,4.47,9.62
v101,76,0.19680283329588302,13.22,15.66,17.03
v104,79,0.5077510685251471,3.3,7.96,7.8
v313,81,0.37525699115716493,4.3,9.88,11.51
v308,69,0.20391798162079872,12.43,6.36,17.13
v131,82,0.34988241938826364,4.71,3.0,14.09
v103,78,0.9760973536305957,17.41,5.82,14.89
v58,50,0.29199684269371484,11.96,5.7,12.61
v87,49,2.545029635558713,7.4,11.13,6.64
v85,59,1.1015866589732468,13.65,2.2,7.22
v89,61,0.594308249439512,23.6,7.71,8.83
v91,57,0.9506802422692999,8.76,12.5,4.85
v121,65,0.7505975420708242,16.86,5.47,12.78
v64,53,0.6457617545189956,17.15,16.53,5.54
v119,64,0.6754976142020452,5.9,13.75,17.56
v116,63,1.1011665929505166,10.2,15.29,15.03
v89,51,0.6638148265225546,2.3,7.95,12.12
v59,56,0.6743693600098292,1.3,13.47,10.13
v87,62,1.199200692323019,6.22,17.04,6.08
v90,55,0.22776742525060067,10.68,17.51,14.5
v65,54,0.2995861497792331,5.8,7.19,11.61
v84,48,0.14779816461460932,15.22,4.0,10.43
v57,47,0.3310808693058789,4.15,3.6,16.61
v57,60,0.26374408695846796,3.0,4.42,6.15
v61,52,0.17251510441649792,16.22,14.76,9.08
v78,58,0.583307172393515,28.3,4.31,6.8
v62,52,0.16733475116103194,15.65,6.62,15.53
