,s_id,roaduser_id,startx_axis,starty_axis,endx_axis,endy_axis,speed,max_speed,numberofcycle,start_cycle,user_type
0,1,v17,70.54485905,47.8001138,-6.214010238968704,2.944597789469551,1.846916271,4,48,0,2
1,1,p1,49.91721891,41.06579529,57.95865278073345,18.480516612656952,0.8589329109999999,1.2,35,0,1
2,1,p2,48.40021286,41.05862478,55.92182100984214,13.002032729784213,1.5096006530000001,1.2,39,8,1
3,1,p55,53.27450905,30.02052227,43.78336549693314,52.48290016478961,0.9667628090000001,1.2,31,1,1
4,1,p83,64.5708669,36.14254072,54.501918179006914,56.55959482859178,0.634111569,1.2,36,0,1
5,1,p84,65.25332922,35.73051134,55.37440143675156,57.105118953968564,0.632200645,1.2,36,0,1
6,1,p85,64.92880953,34.93094354,54.11785317362028,56.21118331316008,1.113002333,1.2,39,2,1
7,2,p91,69.18114575,39.12530028,47.586189708985,50.74139432625605,1.115358522,1.2,90,53,1
8,2,p92,71.54255219,39.05409633,48.78137228671682,50.65798095188598,1.10549095,1.2,90,53,1
9,2,p93,70.79977426,39.77792265,49.42342012097858,51.26996108181228,0.956132476,1.2,90,55,1
10,2,v22,80.12617699,53.42898363,5.1580310579533375,10.222793108282147,1.394422124,4,90,53,2
11,3,v23,69.97316489,46.75931443,28.9655061699574,26.85832685023833,2.240094919,4,103,83,2
12,3,p133,58.66504633,43.27474903,67.98356652658879,31.827607896537735,0.307270838,1.2,103,83,1
12,3,p133,58.66504633,43.27474903,67.98356652658879,31.827607896537735,0.307270838,1.2,103,83,1
13,3,p134,57.61617483,42.85349068,67.11861487040038,31.457505842740503,0.24241865199999998,1.2,103,83,1
14,3,p94,62.63507241,39.97871914,52.84308677224079,55.260516689847776,1.17855963,1.2,103,83,1
15,3,p95,63.44436751,39.90294465,51.77873729919074,53.31643701668173,1.2407755790000001,1.2,103,83,1
16,3,p96,63.76646275,40.10283756,52.138999079870494,53.48134631242785,1.2588665,1.2,103,83,1
17,4,p136,57.54979588,43.31180029,68.84913941019218,29.342073540776056,0.48876421200000003,1.2,120,94,1
18,4,v23,64.52525357,44.09817564,24.07399504421773,21.618372112480362,0.962943698,4,120,94,2
19,5,v25,64.61382761,44.30878254,23.563201743287927,20.69080960184987,2.4254783069999997,4,148,123,2
20,5,p4,51.47906326,37.968633600000004,54.98901272079188,14.666351131277512,1.417717515,1.2,148,123,1
21,5,p5,48.91310945,39.38703876,52.653018786510415,18.38648556465002,0.8193212240000001,1.2,148,123,1
22,5,p6,50.43065032,39.98284239,52.467755910007355,18.16833388114224,0.984178619,1.2,148,123,1
23,5,p7,49.68556112,41.79767666,63.616004202712276,25.68746522098624,1.096411358,1.2,148,124,1
24,5,p8,49.63074108,40.849103899999996,63.58503873635639,25.74541231294178,1.1024149140000001,1.2,148,125,1
25,6,v25,57.72761021,40.34456343,20.110253304588262,17.228729658340075,0.478330428,4,164,140,2
26,6,p58,52.09059159,33.11017909,43.63571145219445,49.25175913109373,1.012145405,1.2,164,140,1
27,6,p57,53.04286797,33.22931887,44.44867062054191,49.81437644920036,1.111764816,1.2,164,140,1
28,7,v25,52.68302211,37.27634785,-8.222326183524377,1.6876139086376973,3.501525867,4,175,155,2
29,7,p11,42.12868647,34.191806899999996,45.463437110373526,20.301897815299682,0.017455685,1.2,178,155,1
30,8,v6,42.37529047,27.23010934,83.57462856711969,53.74417590259094,1.5872111169999998,4,292,272,2
31,8,p61,53.5042663,29.17512419,49.88319253691649,47.9048360992594,1.567647739,1.2,292,272,1
32,8,p24,49.10165575,34.8705644,56.668757063483305,16.493434593219263,1.106061652,1.2,292,272,1
33,8,p23,49.82281361,34.96892414,57.27853199164678,16.614081058715673,1.146694364,1.2,292,272,1
34,9,v28,70.87958073,47.69735356,-5.5097986959686835,4.743052452401837,1.969674085,4,386,332,2
35,9,v29,76.36381294,50.6874696,-3.473161994755877,5.2398684686959065,2.763459759,4,391,332,2
