,scenario_id,roaduser_id,startx_axis,starty_axis,endx_axis,endy_axis,speed,max_speed,numberofcycle,start_cycle,user_type,group_size,group_number,group_id
0,1,c17,64.36025568,44.03884639,22.49473444,20.25367316,1.588816452,4,34,8,2,0,1,100
1,1,p83,63.68339978,39.22869688,55.49726954,56.23558352,0.874545163,1.2,34,8,3,2,1,0
2,1,p84,64.57466306,39.13736299,55.87544102,56.61298879,0.950500864,1.2,34,8,3,2,1,0
3,2,p92,70.47519419,39.33417544,49.71122116,49.7556939,1.10549095,1.2,88,55,3,2,1,0
4,2,p93,70.79977426,39.77792265,50.32604839,50.60258173,0.956132476,1.2,88,55,3,2,1,0
5,2,c3,58.06680711,37.37158041,113.1928541,69.58566195,4.079671949,4,88,55,2,0,1,100
6,2,c4,54.06490895,34.76896585,106.9986127,64.86540273,4.888618488,4,88,55,2,0,1,100
7,2,c22,78.39116371,52.4363455,9.491961233,12.54745158,2.140080039,4,88,55,2,0,1,100
8,3,c23,70.97860424,47.25446642,30.41576814,27.63333544,2.240094919,4,98,82,2,0,1,100
9,3,p94,65.84552505,35.30932851,54.43549006,52.71165655,1.167261102,1.2,98,73,3,3,1,0
10,3,p95,66.41657656,35.02584786,54.77386271,52.05142326,1.17658516,1.2,98,73,3,3,1,0
11,3,p96,67.06979905,35.14354048,55.10353026,52.30881066,1.267690255,1.2,98,73,3,3,1,0
12,4,c31,72.21684713,48.47589583,27.78446493,22.11805398,1.70991456,4,402,370,2,0,2,100
13,4,p116,62.5221543,38.14452869,57.72443844,59.76039832,0.973948119,1.2,398,370,3,2,2,0
14,4,p117,63.20048269,37.93454905,57.34756746,58.12798343,0.980154916,1.2,396,370,3,2,2,0
15,4,p152,61.642756,44.80860504,74.04708722,30.11669555,0.013444939,1.2,402,370,3,2,2,1
16,4,p153,60.97832523,44.3911208,72.95661029,29.75883718,0.004948329,1.2,402,370,3,2,2,1
17,5,p154,67.01319921,48.05824428,71.05366631,29.28084826,0.750636965,1.2,426,404,3,2,2,0
18,5,p155,67.51011908,48.44633914,73.08684597,29.98793582,0.125568068,1.2,426,404,3,2,2,0
19,5,p150,65.1630068,46.34200026,69.96460346,29.57583411,0.039833624,1.2,426,404,3,2,2,1
20,5,p151,65.80232832,46.69885543,70.45178831,29.65016241,0.005522892,1.2,426,404,3,2,2,1
21,5,p118,68.49031217,39.80299909,61.02057411,60.83483,0.596072318,1.2,426,404,3,2,2,1
22,5,c33,73.56474179,49.34781487,37.11977794,26.0905401,1.167599553,4,426,404,2,0,3,100
